,Course Name,State,County,City,Street,Zip Code,Website,Email,Phone,Green Fees Weekend,Green Fees Weekday,Year Built,Annual Rounds,Manager,Club Pro,Superintendant,Guest Policy,Holes
8005,Lakewood Oaks Golf Club,MO,Jackson,Lees Summit,651 Ne St Andrews Cir,64064-1356,,,816-373-6886,$40.00,$30.00,1979,"30,000 (estimated)",Terry Westbrooks,Rick Reynolds,Jeff Eldridge,Reciprocal,18
8006,Shamrock Hills Golf Course,MO,Jackson,Lees Summit,3161 Hwy 291 S,64082-4306,,,816-537-6556,$16.50,$14.50,1964,"33,000 (estimated)",Joey Angel,Eric Reisner,Paul Tormanen,Open,18
8007,Unity Village Country Club,MO,Jackson,Lees Summit,1901 Nw Blue Pkwy,64065-,,unity@unityworldhq.org,816-524-3550,$12.00,$9.00,1930,N/A,Linda Pomeroy,Linda Pomeroy,Harry Stone,Closed,9
8008,Chapel Ridge Golf Club,MO,Jackson,Lee's Summit,3750 Ne Ralph Powell Rd,64064-2349,,tmesserli@chapelridgegc.com,816-347-8000,$45.00,$25.00,1958,"40,000 (estimated)",Todd Messerli,Tim Burt,David Robinson,Open,18
8009,Wentworth Country Club,MO,Lafayette,Lexington,1880 Washington Ave,64067-,,,660-259-2221,N/A,N/A,,"9,000 (estimated)",Mark Corwin,Mark Corwin,Jerry Brown,Reciprocal,9
8010,Claycrest Golf Club,MO,Clay,Liberty,925 N Lightburne St,64068-4523,,,816-781-6522,$18.00,$16.00,1969,"40,000 (estimated)",Bill Skolaut,Bill Skolaut,Mike Lazar,Open,18
8011,Liberty Hills Country Club,MO,Clay,Liberty,Corner Of H Hwy & Stockdale Rd,64068-,,,816-781-3636,$35.00,$25.00,,"30,000 (estimated)",Mitch Johnson,Mike Winter,Kip Beer,Reciprocal,18
8012,Osage Country Club,MO,Osage,Linn,Route 2,65051-,,,573-897-4449,$17.00,$17.00,1969,"10,000 (estimated)",Mike McDanial,Mike McDanial,Dale Rast,Open,9
8013,Bay View Golf Course,MO,Camden,Linn Creek,Rural Route 2,65052-,,,573-346-6617,$25.00,$25.00,1992,N/A,Tony Mannisi,Greg Koenig,Louis Hurgenmueller,Open,9
8014,Pike County Country Club,MO,Pike,Louisiana,Hwy 54 W,63353-,,,573-754-7944,$15.00,$15.00,1953,N/A,John Schmitt,N/A,Everett Johnston,Reciprocal,9
8015,Macon Country Club,MO,Macon,Macon,Hwy 36 W,63552-3648,,,660-385-2614,$17.00,$17.00,1926,N/A,Wanda Hall,James Davis,"Hugh Dunn, Jr.",Open,9
8016,Malden Country Club,MO,Dunklin,Malden,Arnold Blvd,63863-,,,573-276-9991,$30.00,$10.00,1951,N/A,Dave Dirk,Ellis Jones,Dale Wagner,Open,9
8017,Malden Municipal Golf Course,MO,Dunklin,Malden,Malden Industrial Park Rd,63863-,,,573-276-3879,$11.00,$11.00,1973,N/A,Jerry Sills,Jerry Sills,Jerry Sills,Open,9
8018,Marceline Golf Club,MO,Linn,Marceline,Route 1,64658-9801,,,660-376-3174,$15.00,$10.00,,N/A,Rob Sims,Rob Sims,Rob Sims,Open,9
8019,Indian Foothills Golf Course,MO,Saline,Marshall,1510 E Eastwood St,65340-,,,660-886-7128,$12.00,$10.00,1940,"18,891 (estimated)",Jack W. Harvey,Jack W. Harvey,Mike Anderson,Open,9
8020,Marshfield Country Club,MO,Webster,Marshfield,Ne Hubble Dr,65706-1135,,,417-859-4470,$18.00,$13.00,1954,N/A,Alan Wolken,Alan Wolken,Jeremy DeVito,Open,18
8021,Crystal Springs Quarry Golf Club,MO,Saint Louis,Maryland Heights,12163 Prichard Farm Rd,63043-4202,http://www.golfattheq.com,mail@golfattheq.com,314-344-4448,$45.00,$35.00,1997,"25,000 (estimated)",Mike Fromuth,Mike Fromuth,Dave Doggendorf,Open,18
8022,Maryville Country Club,MO,Nodaway,Maryville,Rural Route 1,64468-,,,660-582-5122,$20.00,$20.00,1923,N/A,John Bade,John Bade,Randy Geagle,Open,9
8023,Mozingo Lake Golf Course,MO,Nodaway,Maryville,25055 Liberty Road,64468-,,mozingolf@msc.net,660-562-3864,$18.50,$15.50,1995,"22,000 (estimated)",Rick Schultz,Rick Schultz,Ron Darnell,Open,18
8024,Lakesite Country Club,MO,De Kalb,Maysville,880 Sw Lakeside Rd,64469-9178,,,816-449-9622,$15.00,$12.00,,"35,000 (estimated)",Jerry Gaiser,Jerry Gaiser,Jerry Gaiser,Open,9
8025,Timber Ridge Golf Course,MO,Scotland,Memphis,Hwy 15,63555-0222,,,660-883-5341,$15.00,$15.00,1954,N/A,Randy Trueblood,Randy Trueblood,Randy Trueblood,Open,9
8026,Arthur Hills Golf Club,MO,Audrain,Mexico,Route 2 Hwy 22 W,65265-6201,,,573-581-1330,$15.00,$12.00,1954,N/A,Chick Selsor,Chick Selsor,Tim Kelsey,Open,18
8027,Mexico Country Club,MO,Audrain,Mexico,Hwy 54 E,65265-3503,,,573-581-5374,$15.00,$15.00,1920,N/A,Janie Windaman,Janie Windaman,Paul Delp,Reciprocal,9
8028,Sullivan County Country Club,MO,Sullivan,Milan,3rd St,63556-,,,660-265-4150,$12.00,$10.00,1992,N/A,Larry Prumbo,Larry Prumbo,Larry Prumbo,Open,9
8029,Moberly Country Club,MO,Randolph,Moberly,Route 2 Hwy Jj,65270-,,,660-263-1774,$16.00,$16.00,1965,"16,000 (estimated)",Barry Doty,Barry Doty,Blake McWhorter,Reciprocal,18
8030,Timber Lake Golf Course,MO,Randolph,Moberly,County Rd 110b,65270-5310,,,660-263-8542,$15.50,$13.50,1994,"24,000 (estimated)",Randy Barratt,Vicki McCormick,Randy Barratt,Open,18
8031,Bryce Oaks Golf Club,MO,Barry,Monett,1/2 Mile E Monett Hwy 60,65708-0802,,,417-235-7307,$16.00,$10.00,1996,N/A,Steve Shaner,Steve Shaner,Steve Shaner,Open,18
8032,Windmill Ridge Golf Course,MO,Barry,Monett,Junction Hwys 60 And 37,65708-8253,,windmillridge@mo-net.com,417-235-6076,$20.00,$14.00,1935,N/A,Mike Knight,N/A,Richard Schacht,Open,18
8033,Cannon Hills Golf Course,MO,Ralls,Monroe City,16160 Hwy J,63456-2956,,,573-735-3468,$21.50,$15.00,,N/A,Carl Daffron,Diana Fishback,Charles Moore,Open,9
8034,Mosswood Meadows Golf Course,MO,Monroe,Monroe City,Hwy 36,63456-,,,573-735-2088,$18.00,$18.00,1984,N/A,Pat Trunbull,Janice Schnitzler,Pat Turnbull,Open,9
8035,Montgomery County Golf Club,MO,Montgomery,Montgomery City,Hc,63361-2307,,,573-564-3010,$20.00,$15.00,1985,N/A,Tom Riddle,Tom Riddle,Tom Riddle,Open,9
8036,Mound City Golf Club,MO,Holt,Mound City,End Of Nebraska St,64470-,,,660-442-5780,$14.00,$12.00,1988,N/A,Carol Brandon,Carol Brandon,Korey Miles,Open,9
8037,Mt. Vernon Municipal Golf Course,MO,Lawrence,Mount Vernon,Hwy 174,65712-9801,,,417-466-7831,$13.00,$11.00,,N/A,Rick Tyson,Rick Tyson,Rick Tyson,Open,9
8038,Randell Municipal Golf Course,MO,Wright,Mountain Grove,West First St,65711-1549,,,417-926-5700,$15.00,$13.00,1940,N/A,Lyman Platt,Lyman Platt,Lee Davis,Open,18
8039,Dayne Glass Municipal Golf Course,MO,Howell,Mountain View,115 S Jackson St,65548-,,,417-934-6959,$14.00,$12.00,1984,N/A,Grace Webster,Grace Webster,Bob McBride,Open,18
8040,Lake View Country Club,MO,Butler,Neelyville,Hwy 67 N,63954-8149,,,573-989-6221,$10.00,$9.00,1968,N/A,James Deken,James Deken,James Deken,Open,9
8041,Neosho Municipal Golf Course,MO,Newton,Neosho,1850 Clubhouse Rd,64850-,,,417-451-1543,$12.50,$11.50,1925,"45,000 (estimated)",Mike Maier,Barry Franks,Ernest Wiseman,Open,18
8042,Frank E. Peters Municipal Golf Course,MO,Vernon,Nevada,Rural Route 3,64772-,,,417-448-2750,$12.00,$10.00,1979,N/A,Dan Davis,Dan Davis,Mike Meyer,Open,18
8043,Nevada Country Club,MO,Vernon,Nevada,Country Club Dr,64772-,,,417-667-7182,$12.00,$9.00,1949,N/A,Bill Askew,Joe Bradham,Bill Good,Reciprocal,9
8044,Meadow Lake Acres Country Club,MO,Callaway,New Bloomfield,Meadow Lake Rd,65063-,,mlaccgolf@aol.com,573-491-3417,$35.00,$35.00,1960,"38,000 (estimated)",Rich Custard,Chris Nelson,Brett Craighead,Reciprocal,18
8045,New Madrid Country Club,MO,New Madrid,New Madrid,1376 Mill St,63869-,,,573-748-7794,$15.00,$15.00,1966,N/A,Mike Pardon,Mike Pardon,Mike Pardon,Reciprocal,9
8046,New Melle Lakes Golf Course,MO,Saint Charles,New Melle,404 Foristel Rd,63365-6205,,,636-398-4653,$40.00,$30.00,1991,N/A,Chris Nobbie,Chris Nobbie,Warren Gregory,Open,18
8047,Elk River Country Club,MO,Mc Donald,Noel,Hwy 90 & Tt,64854-9763,,,417-475-3208,$16.00,$14.00,,N/A,Bill Bright,Bill Bright,Ron Bice,Open,9
8048,Glen Echo Country Club,MO,Saint Louis,Normandy,3401 Lucas And Hunt Rd,63121-,,,314-382-5780,$55.00,$45.00,1901,"23,000 (estimated)",Tim Dulle,Nash Haxel,Dan HaseKamp,Reciprocal,18
8049,Winghaven Country Club,MO,Saint Charles,O Fallon,7777 Winghaven Blvd,63366-3788,http://www.winghavencc.com,dashby@winghavencc.com,636-561-9464,$79.95,$59.50,2000,N/A,Dustin Ashby,Steve Sebastian,Chris Holtey,Open,18
8050,Bent Oak Golf Club,MO,Jackson,Oak Grove,1300 Se 30th St,64075-8911,,bentoak@juno.com,816-690-3028,$21.00,$18.00,1978,"35,000 (estimated)",Tom Krueger,Dan Garner,Tom Krueger,Open,18
8051,Falls Golf Club,MO,Saint Charles,O'fallon,1170 Turtle Creek,63366-5926,http://www.fallsgolf.com,info@fallsgolf.com,636-240-4653,$47.00,$37.00,1994,"20,000 (estimated)",Brad Hulett,Terry Houser,Rob Schaff,Open,18
8052,Links of Dardenne,MO,Saint Charles,O'fallon,7000 Brassel Dr,63366-7137,,,636-978-7173,$45.00,$29.50,1998,N/A,Denny Walters,Don Hilke,Bob Dearduff,Open,18
8053,Hidden Lakes Course at The Tan-Tar-A Resort,MO,Camden,Osage Beach,State Road Kk,65065-,,info@tan-tar-a.com,573-348-8521,$55.00,$55.00,1971,"45,000 (estimated)",Andrew Rogers,Paul Leahy,Jim Lewis,Open,27
8054,Sycamore Creek Golf Club,MO,Camden,Osage Beach,Lake Rd 54-56-1270 Nichols Rd,65065-3054,http://www.sycamorecreekgolfclub.com,sycamore@usmo.com,573-348-9593,$43.00,$40.00,1995,N/A,Danna Kahrs,Larry Salsman,Frank York,Open,18
8055,The Oaks Course at The Tan-Tar-A Resort,MO,Camden,Osage Beach,State Road Kk,65065-,,info@tan-tar-a.com,573-348-8521,$79.00,$79.00,1979,"45,000 (estimated)",Andrew Rogers,Paul Leahy,Jim Lewis,Open,27
8056,Owensville Golf Course,MO,Gasconade,Owensville,Parker Dr & Maple St,65066-1206,,rckorff@hotmail.com,573-437-8877,$15.00,$10.00,1950,N/A,Richard McCan,N/A,Roger Korff,Open,9
8057,Jackson Park Golf Course,MO,Marion,Palmyra,1222 W Line St,63461-1800,,,573-769-3000,$13.25,$11.25,1990,N/A,N/A,N/A,Gary Singleton,Open,9
8058,Mark Twain Country Club,MO,Monroe,Paris,Star Route 1,65275-,,,660-327-4411,$18.00,$16.00,1993,N/A,Gary Thurman,Gary Thurman,Bob Mckinney,Open,9
8059,National   Signature Course at National Golf Club of Kansas City,MO,Platte,Parkville,6700 N National Dr,64152-4979,http://www.thenationalgolfclub.com,info@thenationalgolfclub.com,816-741-0634,N/A,N/A,2000,N/A,Carl Brandt,Brad Newland,Gary Beer,Only with a Member,18
8060,National II,MO,Platte,Parkville,6415 N National Dr,64152-4952,http://www.thenationalgolfclub.com,chrisk@thenationalgolfclub.com,816-505-0650,$65.00,$55.00,2001,"25,000 (estimated)",Chris Keefe,Chris Keefe,Gary Beer,Only with a Member,18
8061,National II Course at National Golf Club of Kansas City,MO,Platte,Parkville,6700 N National Dr,64152-4979,http://www.thenationalgolfclub.com,info@thenationalgolfclub.com,816-741-0634,N/A,N/A,2001,N/A,Chris Keefe,Chris Keefe,Tim Higgins,Only with a Member,18
8062,Perryville Country Club,MO,Perry,Perryville,Big Spring Blvd,63775-,,,573-547-8036,$20.00,$12.00,1932,N/A,Debbie Manche,Debbie Manche,Ed Guth,Open,9
8063,Union Hills Golf Course,MO,Jefferson,Pevely,1230 Abbey Ln,63070-2205,,,636-475-4474,$14.00,$14.00,1962,N/A,Jim Snell,"Neal Spencer, Jr",Dennis Patterson,Reciprocal,18
8064,Heritage 66 Golf Course,MO,Laclede,Phillipsburg,15150 Hwy A,65722-9627,,,417-589-3070,$14.00,$10.00,1997,"15,000 (estimated)",Stanley Adams,Stanley Adams,Bobby Fletcher,Open,9
8065,Piedmont Canyon Club,MO,Wayne,Piedmont,Rural Route 2 Canyon Rd,63957-,,,573-223-7908,$18.00,$15.00,1982,N/A,Stanley Clubb,Clyde Mosier,Paul Daggett,Open,9
8066,Shiloh Springs Golf Club,MO,Platte,Platte City,14750 Fairway Ln,64079-9550,,,816-270-4653,$41.75,$36.50,1995,"26,000 (estimated)",Scott Kessler,Scott Kessler,Mark Greenstreet,Open,18
8067,Plattsburg Country Club,MO,Clinton,Plattsburg,8th & Frost,64477-,http://www.plattsburgcountryclub.com,mailbox@plattsburgcountryclub.com,816-539-3328,$18.00,$18.00,1927,N/A,Hugh Mahoney,N/A,Tim Davis,Open,18
8068,Pleasant Hills Golf Course,MO,Cass,Pleasant Hill,1600 Country Club Dr,64080-1545,,,816-987-2188,$14.00,$12.00,1927,N/A,Jerry Hull,Jerry Hull,Jerry Hull,Open,9
8069,Quarry Course at Country Creek Golf Club,MO,Cass,Pleasant Hill,21601 E State Route P,64080-9167,,,816-540-5225,$15.00,$13.00,1994,N/A,Jeff McKee,N/A,Jeff McKee,Open,36
8070,Rock Course at Country Creek Golf Club,MO,Cass,Pleasant Hill,21601 E State Route P,64080-9167,,,816-540-5225,$15.00,$13.00,1991,N/A,Jeff McKee,Jeff McKee,Jeff McKee,Open,36
8071,Ozark Ridge Golf Course,MO,Butler,Poplar Bluff,3045 Cravens Rd,63901-8650,,,573-686-8634,$14.00,$11.00,1980,"22,000 (estimated)",Buddy Godwin,Buddy Godwin,Bob Kline,Open,18
8072,Westwood Hills Country Club,MO,Butler,Poplar Bluff,Hwy 67 S,63901-8598,,jsides@pbmo.net,573-785-8211,$25.00,$25.00,1937,N/A,Jim Sides,Jim Sides,John Dixon,Reciprocal,18
8073,Fourche Valley Golf Club,MO,Washington,Potosi,Hwy 8 W,63664-9406,http://www.fourchevalley.org,fvgolf@centurytel.net,573-438-7888,$24.00,$19.00,1992,"20,000 (estimated)",Scott Smith,N/A,Scott Smith,Open,18
8074,Eagle Crest Golf & Country Club,MO,Christian,Republic,1545 S Beal Rd,65738-8402,,,417-732-8487,$20.00,$15.00,1990,N/A,Tom Riddell,Tom Riddell,Jeff McQueen,Open,18
8075,Island Green Golf Club,MO,Christian,Republic,169 Country Club Dr,65738-9237,http://www.islandgreengolfclub.com,IGGCGolf@aol.com,417-732-7622,$40.00,$35.00,1972,N/A,Sean Brewer,Sean Brewer,Scott Welsh,Open,18
8076,Richland Golf & Country Club,MO,Pulaski,Richland,1555 N Pine St,65556-7875,,,573-765-4825,$10.40,$9.40,1953,N/A,Dan Burgess,Dan Burgess,Bill Burgess,Open,9
8077,Shirkey Golf Club,MO,Ray,Richmond,901 Wollard Blvd,64085-2236,,,816-470-2582,$27.00,$22.00,1969,"35,000 (estimated)",Dave Broderick,Dave Broderick,Elwood Gaines,Open,18
8078,Oakmont Community Golf Course,MO,Taney,Ridgedale,2722 State Hwy 86,65739-4314,,,417-334-1572,$17.00,$17.00,1988,N/A,Martin Tate,Martin Tate,Martin Tate,Open,9
8079,Rock Port Golf & Country Club,MO,Atchison,Rock Port,101 Country Club Dr,64482-,,,660-744-2590,$14.00,$12.75,1928,"25,000 (estimated)",Ann Schoonover,Ann Schoonover,Charlie Salfrank,Open,9
8080,Oak Meadow Country Club,MO,Phelps,Rolla,Route 4,65401-7791,,,573-341-2363,$20.00,$18.25,1958,"28,000 (estimated)",Steve Hill,Steve Hill,Frank Hull,Open,18
8081,University of Missouri-Rolla Golf Course,MO,Phelps,Rolla,1001 W 10th St,65409-,,,573-341-4217,$15.00,$11.75,1920,"35,000 (estimated)",Neal Rosenburg,N/A,Neal Rosenburg,Open,9
8082,Lewis and Clark Course at Country Club of St. Albans,MO,Franklin,Saint Albans,101 St Albans Rd,63073-,,,636-458-3062,$120.00,$110.00,1992,N/A,Pete Young,Terry Grosch,Bill Ashby,Closed,36
8083,Tavern Creek Course at Country Club of St. Albans,MO,Franklin,Saint Albans,101 St Albans Rd,63073-,,,636-458-3062,$120.00,$110.00,1997,N/A,Pete Young,Terry Grosch,Bill Ashby,Closed,36
8084,St. Ann Golf Course,MO,Saint Louis,Saint Ann,4100 Ashby Rd,63074-1702,,,314-423-6400,$22.00,$20.00,1953,"40,000 (estimated)",Mark Ryan,Mark Ryan,Daryl Dean,Open,9
8085,Bogey Hills Country Club,MO,Saint Charles,Saint Charles,1120 Country Club Rd,63303-,,,636-946-1511,$84.00,$74.00,1961,N/A,Angel Walters,Bob Jones,John Fortell,Reciprocal,18
8086,Eighteen Hole Course at St. Charles Golf Course,MO,Saint Charles,Saint Charles,500 Old Friedens Rd,63303-,,,636-946-6190,$20.00,$18.50,1956,N/A,Frank Phillips,N/A,Bob Vogt,Open,27
8087,Missouri Bluffs Golf Club,MO,Saint Charles,Saint Charles,18 Research Park Circle,63304-5624,,,636-939-6494,$95.00,$85.00,1995,N/A,Walters Golf Management,Bill Morrow,Al Zelko,Open,18
8088,Nine Hole Course at St. Charles Golf Course,MO,Saint Charles,Saint Charles,500 Old Friedens Rd,63303-,,,636-946-6190,$20.00,$18.50,N/A,N/A,Frank Phillips,N/A,Bob Vogt,Open,27
8089,North Course at Whitmoor Country Club,MO,Saint Charles,Saint Charles,1100 Whitmoor Dr,63304-0564,http://www.whitmoorgolf.com,,636-926-9622,$60.00,$50.00,1988,"60,000 (estimated)",David Priest,Russ Luedloff,David Priest,Reciprocal,36
8090,South Course at Whitmoor Country Club,MO,Saint Charles,Saint Charles,1100 Whitmoor Dr,63304-0564,http://www.whitmoorgolf.com,,636-926-9622,$60.00,$50.00,1988,"60,000 (estimated)",David Priest,Russ Luedloff,David Priest,Reciprocal,36
8091,St. James Golf Club,MO,Phelps,Saint James,Hwy 68 S,65559-6137,,,573-265-8688,$24.00,$20.00,1966,N/A,Dan Pruitt,Dan Pruitt,Jim McConahay,Open,9
8092,Fairview Golf Course,MO,Buchanan,Saint Joseph,33rd St & Pacific St,64507-,,,816-271-5350,$14.50,$13.00,1927,"45,000 (estimated)",Mike Habermehl,Mike Habermehl,Mike Boaz,Open,18
8093,Golf Club of St Saint Joseph,MO,Buchanan,Saint Joseph,6480 Se Us 169,64507-7979,,dirgolfco2@msn.com,816-253-9310,$12.00,$11.50,1995,"15,000 (estimated)",Brien Boggess,Dave Richardson,Cary Tamerius,Open,9
8094,Moila Country Club,MO,Buchanan,Saint Joseph,701 N Noyes Blvd,64506-2812,,,816-232-9681,$40.00,$30.00,1920,"23,000 (estimated)",Terry Gardner,Ken Leland,George Stumpff,Reciprocal,18
8095,St. Joseph Country Club,MO,Andrew,Saint Joseph,50 Ridgeland Rd,64505-1069,,,816-233-6373,$75.00,$60.00,1912,"17,000 (estimated)",Dave Takes,John Leimbach,Dave Wager,Reciprocal,18
8096,Bellerive Country Club,MO,Saint Louis,Saint Louis,12925 Ladue Rd,63141-,,,314-434-4405,$185.00,$185.00,1959,"25,000 (estimated)",Kevin Carroll,Mike Tucker,Chuck Gast,Reciprocal,18
8097,Bogey Club,MO,Saint Louis,Saint Louis,9266 Clayton Rd,63124-1566,,,314-993-0161,N/A,N/A,1910,"8,000 (estimated)",David Shelton,David Shelton,Steve Hargas,Closed,18
8098,East Course at Norwood Hills Country Club,MO,Saint Louis,Saint Louis,1 Norwood Hills Country Club,63121-,,,314-521-4802,$50.00,$50.00,1921,"84,000 (estimated)",John Wright,Mike Mueller,Tim Burch,Reciprocal,36
8099,Eighteen Hole Course at Eagle Springs Golf Course,MO,Saint Louis,Saint Louis,2575 Redman Rd,63136-5860,http://www.eaglesprings.com,,314-355-7277,$29.50,$19.50,1989,N/A,Tim Davenport,Tim Davenport,Joe Wachter,Open,27
8100,Eisenhower Course at The Courses at Forest Park,MO,Saint Louis City (City),Saint Louis,5591 Grand Dr,63112-1095,,,314-367-1337,$21.00,$18.00,1913,"100,000 (estimated)",Jeff Raffelson,Scott Lanemann,Chad Carpenter,Open,27
8101,Emerald Greens Golf Course,MO,Saint Louis,Saint Louis,12385 Larimore Rd,63138-3806,,,314-355-2777,$35.00,$25.00,1994,"26,000 (estimated)",Jim Cochran,Jim Cochran,Jeff McDonald,Open,18
8102,Forest Park Course at The Courses at Forest Park,MO,Saint Louis City (City),Saint Louis,5591 Grand Dr,63112-1095,,,314-367-1337,$21.00,$18.00,1913,"100,000 (estimated)",Jeff Raffelson,Scott Lanemann,Chad Carpenter,Open,27
8103,Log Cabin Club,MO,Saint Louis,Saint Louis,1140 Log Cabin Ln,63124-1518,,,314-993-0154,$20.00,$20.00,1909,N/A,Don Schmoll,Don Schmoll,Steve Hargis,Closed,18
8104,Normandie Golf Course,MO,Saint Louis,Saint Louis,7605 Saint Charles Rock Rd,63133-1319,,,314-862-4884,$43.50,$38.50,1901,N/A,Doyle Moffitt,Doyle Moffitt,Kent Critchell,Open,18
8105,Old Warson Country Club,MO,Saint Louis,Saint Louis,9841 Old Warson Rd,63124-1027,,,314-961-0005,$75.00,$75.00,1954,"20,000 (estimated)",Wolfgang Van Dressler,Garth Bayer,Time Roethler,Closed,18
8106,Par 3 Course at Eagle Springs Golf Course,MO,Saint Louis,Saint Louis,2575 Redman Rd,63136-5860,http://www.eaglesprings.com,,314-355-7277,$18.00,$15.00,1989,N/A,Tim Davenport,Tim Davenport,Joe Walker,Open,27
8107,Quail Creek Golf Course,MO,Saint Louis,Saint Louis,6022 Wells Rd,63128-4404,http://www.quailcreekgolfclub.com,info@quailcreekgolfclub.com,314-487-1988,$57.00,$50.00,1985,"40,000 (estimated)",Gary Shenberg,T. D. Morris,Brent Bouren,Open,18
8108,Ruth Park Golf Club,MO,Saint Louis,Saint Louis,8211 Groby Rd,63132-4017,,,314-727-4800,$30.00,$24.00,1935,"50,000 (estimated)",Ron Akin,Ron Akin,Don Humphries,Open,9
8109,Saint Louis Country Club,MO,Saint Louis,Saint Louis,400 Barnes Rd,63124-,,,314-994-0017,$60.00,$55.00,1914,"18,000 (estimated)",Hubert VanGent,Steve Spray,Tim Burch,Closed,18
8110,Sherwood Country Club,MO,Saint Louis,Saint Louis,8100 Fine Rd,63129-5112,,,314-846-8850,$20.00,$17.00,1971,N/A,Jim Buford,Jim Buford,Jim Buford,Closed,9
8111,Sunset Country Club,MO,Saint Louis,Saint Louis,9555 S Geyer Rd,63127-,,,314-843-7119,$60.00,$60.00,1916,N/A,Art Wagner,Gary Fee,Tom VanDerWalde,Closed,18
8112,Sunset Lakes Golf Course,MO,Saint Louis,Saint Louis,13366 W Watson Rd,63127-1923,,,314-843-3000,$26.00,$20.00,1989,N/A,Dave Brown,Dave Brown,Randy Guyer,Open,18
8113,The Courses at Forest Park,MO,Saint Louis City (City),Saint Louis,5591 Grand Dr,63112-1095,,,314-367-1337,N/A,N/A,,"100,000 (estimated)",N/A,N/A,N/A,Open,27
8114,Tower Tee Par 3 Golf Course,MO,Saint Louis,Saint Louis,6727 Heege Rd,63123-2698,http://www.towertee.com,,314-481-5818,$13.00,$13.00,1962,N/A,Barb Lotz,Steve Lotz,Marie Colewell,Open,18
8115,Triple A Golf & Tennis Club,MO,Saint Louis City (City),Saint Louis,5163 Clayton Rd,63110-1423,,,314-535-3710,$21.00,$18.00,,N/A,Tom Heyer,Tom Heyer,Jeff Olsen,Open,9
8116,West Course at Norwood Hills Country Club,MO,Saint Louis,Saint Louis,1 Norwood Hills Country Club,63121-,,,314-521-4802,$50.00,$50.00,1921,"84,000 (estimated)",John Wright,Mike Mueller,Tim Burch,Reciprocal,36
8117,Westborough Country Club,MO,Saint Louis,Saint Louis,631 S Berry Rd,63122-,,,314-968-5180,$50.00,$42.00,1930,"23,000 (estimated)",Joe Basso,Jimmy Bals,Tim Allen,Reciprocal,18
8118,Westwood Country Club,MO,Saint Louis,Saint Louis,11801 Conway Rd,63131-2414,,,314-432-2311,$60.00,$60.00,1928,"17,000 (estimated)",Daryl Hartig,Daryl Hartig,Charlie Ziegler,Only with a Member,18
8119,Mid Rivers Golf Links,MO,Saint Charles,Saint Peters,4100 Mid Rivers Mall Dr,63376-4417,,,636-939-3663,$22.00,$22.00,1993,N/A,Ed Schwent,Ed Schwent,Pete Christo,Open,18
8120,St. Peters Golf Course,MO,Saint Charles,Saint Peters,200 A Salt Lick Rd,63376-1146,,,636-397-2227,$26.00,$18.00,1994,"80,000 (estimated)",Ken Nicholas,Ken Nicholas,John Haynes,Open,18
8121,St. Genevieve Golf Course,MO,Sainte Genevieve,Sainte Genevieve,17317 Hwy 32,63670-,,,573-883-2949,$24.00,$20.00,1960,N/A,Ed Jaegers,Ed Jaegers,Gene Vessel,Open,18
8122,Sping Creek Golf Club,MO,Dent,Salem,Route 1071,65560-,,,573-729-3080,$16.00,$16.00,1969,N/A,Mary Karr,N/A,Mark Brady III,Open,9
8123,Salisbury Municipal Golf Course,MO,Chariton,Salisbury,Hwy 129 S,65281-,,,660-388-5721,$15.00,$10.00,1983,"37,000 (estimated)",Robin Boeger,Robin Carter,Wayne Schoonhoven,Open,9
8124,Center Creek Country Club,MO,Jasper,Sarcoxie,Hwy 37 N,64862-,,,417-548-7775,$10.00,$8.00,1972,N/A,Dwane Scowden,Dave Scowden,Butch Smith,Open,9
8125,Duncan Hills Golf Course,MO,Andrew,Savannah,400 E Duncan Dr,64485-2302,,,816-324-7575,$15.00,$13.00,1975,N/A,Matt Thrasher,Matt Thrasher,Randy Shores,Open,18
8126,Elm Hills Public Golf Course,MO,Pettis,Sedalia,1615 Elm Hills Rd,65301-8557,,,660-826-6171,$10.00,$8.00,1934,N/A,Roy DeHaven,Chuck Stone,Bill Morris,Open,9
8127,Prairie Ridge Golf Course,MO,Pettis,Sedalia,16th & Prairie Rd,65301-9162,,,660-827-5424,$14.00,$12.00,1987,N/A,Liz Whitson,Liz Whitson,Gary Johnson,Open,9
8128,Sedalia Country Club,MO,Pettis,Sedalia,1700 Sycamore Dr,65301-8928,,proshop@iland.net,660-826-2230,$20.00,$15.00,1963,"31,000 (estimated)",Dennis Hagen,Todd Nicklas,Dallas Baldwin,Reciprocal,18
8129,Shelbina Lakeside Golf Course,MO,Shelby,Shelbina,Lakeside Rd,63468-4142,,,573-588-4755,$14.00,$10.00,1954,N/A,Kyle Kendrick,Brenda Milner,Johnnie Presson,Open,9
8130,Cedar Creek Country Club,MO,Barry,Shell Knob,Hist County Road 2,65747-,,,417-858-6461,$12.00,$11.00,1968,N/A,Bill Boen,Bill Boen,Bill Boen,Open,9
8131,Kings River Golf Course,MO,Barry,Shell Knob,Lake Rd 39-72,65747-7213,,mphelan@mo.net.com,417-858-6330,$19.00,$15.00,1995,"24,000 (estimated)",Mike Pheland,Mike Pheland,Mike Pheland,Open,18
